Month,Time_Years,Oil_Production_STB,Water_Production_STB,Total_Gas_Produced_MSCF,CO2_Produced_MSCF,Reservoir_Pressure_psia,CO2_Purchased_MSCF,CO2_Injected_MSCF,Water_Injected_STB
1,0.083,0.0,0.0,0.0,0.0,4000.0,152187.5,152187.5,0.0
2,0.166,7034.55,7.5,1621.83,0.0,3996.08,152187.5,152187.5,0.0
3,0.249,14069.11,26.02,3243.66,0.0,3987.63,152187.5,152187.5,0.0
4,0.332,21103.66,55.29,4865.5,0.0,3975.09,152187.5,152187.5,0.0
5,0.415,28138.22,95.33,6487.33,0.0,3958.6,152187.5,152187.5,0.0
6,0.498,35172.77,146.18,8109.16,0.0,3938.3,152187.5,152187.5,0.0
7,0.581,42207.33,207.9,9730.99,0.0,3914.38,152187.5,152187.5,0.0
8,0.663,49241.88,280.54,11352.82,0.0,3886.99,152187.5,152187.5,0.0
9,0.746,56276.44,364.15,12974.65,0.0,3856.34,152187.5,152187.5,0.0
10,0.829,63310.99,458.78,14596.49,0.0,3822.61,152187.5,152187.5,0.0
11,0.912,70345.55,564.49,16218.32,0.0,3786.01,152187.5,152187.5,0.0
12,0.995,77380.1,681.34,17840.15,0.0,3746.75,152187.5,152187.5,0.0
13,1.078,84414.66,809.38,19461.98,0.0,3705.01,152187.5,152187.5,0.0
14,1.161,91449.21,948.66,21083.81,0.0,3661.0,152187.5,152187.5,0.0
15,1.244,98483.77,1099.25,22705.64,0.0,3614.92,152187.5,152187.5,0.0
16,1.326,105518.32,1261.19,24327.48,0.0,3566.95,152187.5,152187.5,0.0
17,1.409,112552.88,1434.55,25949.31,0.0,3517.28,152187.5,152187.5,0.0
18,1.492,119587.43,1619.38,27571.14,0.0,3466.08,152187.5,152187.5,0.0
19,1.575,126621.99,1815.75,29192.97,0.0,3416.73,152187.5,152187.5,0.0
20,1.658,126621.99,1911.98,29192.97,0.0,3373.23,152187.5,152187.5,0.0
21,1.741,126621.99,2004.01,29192.97,0.0,3334.76,152187.5,152187.5,0.0
22,1.824,126621.99,2092.38,29192.97,0.0,3300.67,152187.5,152187.5,0.0
23,1.906,126621.99,2177.52,29192.97,0.0,3270.38,152187.5,152187.5,0.0
24,1.989,126621.99,2259.8,29192.97,0.0,3243.42,152187.5,152187.5,0.0
25,2.072,126621.99,2339.49,29192.97,0.0,3219.37,152187.5,152187.5,0.0
26,2.155,126621.99,2416.86,29192.97,0.0,3197.89,152187.5,152187.5,0.0
27,2.238,126621.99,2492.1,29192.97,0.0,3178.67,152187.5,152187.5,0.0
28,2.321,126621.99,2565.4,29192.97,0.0,3161.45,152187.5,152187.5,0.0
29,2.404,126621.99,2636.91,29192.97,0.0,3146.01,152187.5,152187.5,0.0
30,2.487,126621.99,2706.77,29192.97,0.0,3132.13,152187.5,152187.5,0.0
31,2.569,126621.99,2775.11,29770.59,577.62,3119.55,151667.64,152187.5,0.0
32,2.652,126621.99,2842.02,30669.13,1476.16,3108.07,150858.96,152187.5,0.0
33,2.735,126621.99,2907.6,31552.82,2359.85,3097.57,150063.63,152187.5,0.0
34,2.818,126621.99,2971.93,32421.9,3228.93,3087.95,149281.46,152187.5,0.0
35,2.901,126621.99,3035.1,33276.62,4083.65,3079.12,148512.21,152187.5,0.0
36,2.984,126621.99,3097.16,34117.21,4924.24,3070.99,147755.68,152187.5,0.0
37,3.067,126621.99,3158.19,34943.91,5750.94,3063.5,147011.65,152187.5,0.0
38,3.15,126621.99,3218.24,35756.94,6563.97,3056.58,146279.92,152187.5,0.0
39,3.232,126621.99,3277.35,36556.54,7363.57,3050.18,145560.29,152187.5,0.0
40,3.315,126621.99,3335.58,37342.92,8149.95,3044.23,144852.55,152187.5,0.0
41,3.398,126621.99,3392.98,38116.3,8923.33,3038.71,144156.5,152187.5,0.0
42,3.481,126621.99,3449.57,38876.9,9683.93,3033.56,143471.97,152187.5,0.0
43,3.564,126621.99,3505.4,39624.92,10431.95,3028.75,142798.74,152187.5,0.0
44,3.647,126621.99,3560.5,40360.59,11167.62,3024.25,142136.65,152187.5,0.0
45,3.73,126621.99,3614.91,41084.09,11891.12,3020.04,141485.49,152187.5,0.0
46,3.813,126621.99,3668.65,41795.64,12602.67,3016.08,140845.1,152187.5,0.0
47,3.895,126621.99,3721.74,42495.42,13302.45,3012.35,140215.3,152187.5,0.0
48,3.978,126621.99,3774.23,43183.64,13990.67,3008.84,139595.9,152187.5,0.0
49,4.061,126621.99,3826.12,43860.48,14667.51,3005.51,138986.74,152187.5,0.0
50,4.144,126621.99,3877.45,44526.14,15333.17,3002.37,138387.65,152187.5,0.0
51,4.227,126621.99,3928.22,45180.79,15987.82,2999.38,137798.46,152187.5,0.0
52,4.31,126621.99,3978.48,45824.62,16631.65,2996.49,137219.01,152187.5,0.0
53,4.393,126621.99,4028.22,46457.81,17264.84,2993.53,136649.14,152187.5,0.0
54,4.475,126621.99,4077.47,47080.54,17887.57,2990.49,136088.69,152187.5,0.0
55,4.558,126621.99,4126.25,47692.97,18500.0,2987.37,135537.5,152187.5,0.0
56,4.641,126621.99,4174.57,48295.28,19102.31,2984.18,134995.42,152187.5,0.0
57,4.724,126621.99,4222.45,48887.63,19694.66,2980.93,134462.3,152187.5,0.0
58,4.807,126621.99,4269.9,49470.2,20277.23,2977.61,133937.99,152187.5,0.0
59,4.89,126621.99,4316.93,50043.13,20850.16,2974.24,133422.35,152187.5,0.0
60,4.973,126621.99,4363.56,50606.6,21413.63,2970.8,132915.23,152187.5,0.0
61,5.056,126621.99,4409.8,51160.75,21967.78,2967.31,132416.5,152187.5,0.0
62,5.138,126621.99,4455.66,51705.74,22512.77,2963.76,131926.0,152187.5,0.0
63,5.221,126621.99,4501.15,52241.73,23048.76,2960.17,131443.62,152187.5,0.0
64,5.304,126621.99,4546.29,52768.85,23575.88,2956.52,130969.21,152187.5,0.0
65,5.387,126621.99,4591.07,53287.27,24094.3,2952.83,130502.63,152187.5,0.0
66,5.47,126621.99,4635.52,53797.11,24604.14,2949.1,130043.77,152187.5,0.0
67,5.553,126621.99,4679.63,54298.53,25105.56,2945.33,129592.5,152187.5,0.0
68,5.636,126621.99,4723.43,54791.66,25598.69,2941.51,129148.68,152187.5,0.0
69,5.719,126621.99,4766.91,55276.64,26083.67,2937.67,128712.2,152187.5,0.0
70,5.801,126621.99,4810.09,55753.6,26560.63,2933.78,128282.93,152187.5,0.0
71,5.884,126621.99,4852.97,56222.68,27029.71,2929.86,127860.76,152187.5,0.0
72,5.967,126621.99,4895.56,56684.0,27491.03,2925.92,127445.57,152187.5,0.0
73,6.05,126621.99,4937.87,57137.71,27944.74,2921.94,127037.24,152187.5,0.0
