Module,Lines,Classes,Functions
__init__.py,25,0,0
analysis/breakthrough_physics.py,642,2,12
analysis/data_validation.py,396,1,8
analysis/decline_curve_analysis.py,391,2,17
analysis/injection_scheme_validator.py,424,2,13
analysis/material_balance.py,642,3,8
analysis/profiler.py,1175,1,19
analysis/profiler_refactored.py,228,1,21
analysis/sensitivity_analyzer.py,928,1,19
analysis/uq_engine.py,544,2,17
analysis/well_analysis.py,278,2,6
audit/__init__.py,11,0,0
audit/__main__.py,31,0,1
audit/pipeline.py,585,0,9
core/__init__.py,18,0,1
core/compositional_engine/__init__.py,34,0,0
core/compositional_engine/components/__init__.py,9,0,0
core/compositional_engine/components/registry.py,336,1,19
core/compositional_engine/compositional_engine.py,991,2,16
core/compositional_engine/engine_wrapper.py,290,1,9
core/compositional_engine/flow/__init__.py,10,0,0
core/compositional_engine/flow/compositional_solver.py,1362,5,22
core/compositional_engine/flow/transmissibility.py,290,1,8
core/compositional_engine/phase_behavior/__init__.py,10,0,0
core/compositional_engine/phase_behavior/flash_calculator.py,518,1,11
core/compositional_engine/phase_behavior/miscibility_detector.py,329,1,12
core/compositional_engine/properties/__init__.py,11,0,0
core/compositional_engine/properties/density.py,333,1,9
core/compositional_engine/properties/eos_wrapper.py,210,1,9
core/compositional_engine/properties/viscosity.py,277,1,8
core/compositional_engine/sensitivity/__init__.py,9,0,0
core/compositional_engine/sensitivity/sensitivity_analyzer.py,343,1,11
core/data_integration_engine.py,1019,4,39
core/data_models.py,2402,39,79
core/engine_factory.py,139,4,12
core/engine_simple/__init__.py,37,0,0
core/engine_simple/examples.py,657,0,7
core/engine_simple/mass_balance_tracker.py,533,4,9
core/engine_simple/multiphase_flow_adapter.py,615,1,10
core/engine_simple/optimization_interface.py,633,2,15
core/engine_simple/parameter_estimation.py,452,3,12
core/engine_simple/reservoir_engine.py,606,1,15
core/engine_simple/storage_efficiency.py,452,2,18
core/engine_simple/utils.py,335,3,14
core/engine_surrogate/__init__.py,61,0,0
core/engine_surrogate/analytical_models.py,1021,8,31
core/engine_surrogate/feature_transformer.py,294,1,13
core/engine_surrogate/model_factory.py,178,0,4
core/engine_surrogate/profile_generator_fast.py,1307,1,19
core/engine_surrogate/response_surfaces.py,414,3,14
core/engine_surrogate/surrogate_engine.py,889,2,12
