Module,Line,Literal,Code Snippet
analysis/breakthrough_physics.py,29,300.0,"default=300.0,"
analysis/breakthrough_physics.py,33,0.95,"default=0.95,"
analysis/breakthrough_physics.py,37,0.1,"default=0.1,"
analysis/breakthrough_physics.py,43,0.9,"default=0.9,"
analysis/breakthrough_physics.py,47,0.95,"default=0.95,"
analysis/breakthrough_physics.py,51,15.0,"default=15.0,"
analysis/breakthrough_physics.py,57,0.08,"default=0.08,"
analysis/breakthrough_physics.py,63,0.15,"default=0.15,"
analysis/breakthrough_physics.py,67,0.35,"default=0.35,"
analysis/breakthrough_physics.py,71,15.0,"default=15.0,"
analysis/breakthrough_physics.py,75,5.0,"default=5.0,"
analysis/breakthrough_physics.py,83,2.5,"default=2.5,"
analysis/breakthrough_physics.py,89,3.0,"default=3.0,"
analysis/breakthrough_physics.py,97,25.0,"default=25.0,"
analysis/breakthrough_physics.py,102,50.0,if not (50.0 <= self.breakthrough_gor_threshold <= 5000.0):
analysis/breakthrough_physics.py,102,5000.0,if not (50.0 <= self.breakthrough_gor_threshold <= 5000.0):
analysis/breakthrough_physics.py,104,0.7,if not (0.7 <= self.breakthrough_water_cut_threshold <= 1.0):
analysis/breakthrough_physics.py,105,0.7,"raise ValueError(""Breakthrough water cut threshold must be between 0.7 and 1.0"")"
analysis/breakthrough_physics.py,146,2000.0,"pressure = _to_float(reservoir_params.get(""pressure"", 2000.0))"
analysis/breakthrough_physics.py,147,150.0,"temp_f = _to_float(reservoir_params.get(""temperature"", 150.0))"
analysis/breakthrough_physics.py,165,273.15,temp_k = (temp_f - 32) * 5 / 9 + 273.15
analysis/breakthrough_physics.py,166,6894.76,pres_pa = pressure * 6894.76
analysis/breakthrough_physics.py,170,44.0,"rho_co2 = props.get(""vapor_properties"", {}).get(""density"", 44.0 * 16.0185) / 16.0185"
analysis/breakthrough_physics.py,170,16.0185,"rho_co2 = props.get(""vapor_properties"", {}).get(""density"", 44.0 * 16.0185) / 16.0185"
analysis/breakthrough_physics.py,170,16.0185,"rho_co2 = props.get(""vapor_properties"", {}).get(""density"", 44.0 * 16.0185) / 16.0185"
analysis/breakthrough_physics.py,171,50.0,"rho_oil = props.get(""liquid_properties"", {}).get(""density"", 50.0 * 16.0185) / 16.0185"
