Year,Oil_Production_STB,CO2_Purchased_MSCF,CO2_Recycled_MSCF,Oil_Revenue_USD,Storage_Credit_Revenue_USD,CO2_Purchase_Cost_USD,CO2_Recycling_OPEX_USD,Operating_Cost_USD,CAPEX_USD,Net_Cash_Flow_USD,Discount_Factor,Discounted_Cash_Flow_USD,Cumulative_NPV_USD
1,548695.28,1826250.0,0.0,38408669.5,2419781.25,4839562.5,0.0,2943476.39,5000000.0,28045411.85,0.9535,26740251.0,26740251.0
2,1413945.53,1826250.0,0.0,98976186.78,2419781.25,4839562.5,0.0,7269727.63,0.0,89286677.9,0.8668,77392279.18,104132530.18
3,1519463.85,1804968.67,21281.33,106362469.37,2391583.49,4783166.98,16918.66,7797319.24,0.0,96156647.99,0.788,75770055.01,179902585.19
4,1519463.85,1703948.21,122301.79,106362469.37,2257731.38,4515462.75,97229.92,7797319.24,0.0,96210188.83,0.7164,68920222.2,248822807.39
5,1519463.85,1612584.73,213665.27,106362469.37,2136674.76,4273349.52,169863.89,7797319.24,0.0,96258611.48,0.6512,62686281.63,311509089.02
6,1519463.85,1537782.63,288467.37,106362469.37,2037561.99,4075123.97,229331.56,7797319.24,0.0,96298256.59,0.592,57010999.66,368520088.69
7,1326589.08,1476539.86,349710.14,92861235.83,1956415.31,3912830.62,278019.56,6832945.42,0.0,83793855.54,0.5382,45098253.16,413618341.84
8,1023021.85,1426398.51,399851.49,71611529.61,1889978.03,3779956.06,317881.93,5315109.26,0.0,64088560.39,0.4893,31357062.93,444975404.77
9,785608.91,1385346.26,440903.74,54992623.96,1835583.79,3671167.58,350518.48,4128044.57,0.0,48678477.13,0.4448,21652056.88,466627461.65
10,601873.71,1351735.51,474514.49,42131159.71,1791049.55,3582099.1,377239.02,3209368.55,0.0,36753502.59,0.4044,14861690.9,481489152.55
11,460550.44,1324217.36,502032.64,32238530.76,1754588.0,3509175.99,399115.95,2502752.2,0.0,27582074.62,0.3676,10139201.05,491628353.6
12,352223.76,1301687.4,524562.6,24655663.06,1724735.8,3449471.6,417027.27,1961118.79,0.0,20552781.2,0.3342,6868386.4,498496740.0
13,269339.85,1283241.43,543008.57,18853789.29,1700294.89,3400589.79,431691.81,1546699.24,0.0,15175103.35,0.3038,4610235.31,503106975.32
14,205975.53,1268139.15,558110.85,14418286.76,1680284.37,3360568.74,443698.13,1229877.63,0.0,11064426.64,0.2762,3055819.26,506162794.58
15,157546.42,1255774.44,570475.56,11028249.13,1663901.14,3327802.28,453528.07,987732.08,0.0,7923087.85,0.2511,1989301.16,508152095.74
