Year,Oil_Production_STB,Water_Production_STB,Total_Gas_Produced_MSCF,CO2_Produced_MSCF,HC_Gas_Produced_MSCF,Reservoir_Pressure_psia,CO2_Purchased_MSCF,CO2_Recycled_MSCF,CO2_Injected_MSCF,Water_Injected_STB,MB_Injected_Tonne,MB_Produced_Tonne,MB_Recycled_Tonne,MB_Net_Stored_Tonne,MB_Cumulative_Stored_Tonne,MB_Annual_Leakage_Tonne,MB_Storage_Efficiency
1,548695.28,3696.91,126502.87,0.0,126502.87,3881.15,1826250.0,0.0,1826250.0,0.0,96791.25,0.0,0.0,96791.25,96791.25,0.0,1.0
2,1413945.53,20963.96,325988.17,0.0,325988.17,3415.4,1826250.0,0.0,1826250.0,0.0,96791.25,0.0,0.0,96781.5709,193572.8209,9.6791,0.9999
3,1519463.85,33605.14,372717.05,22401.4,350315.65,3120.24,1804968.67,21281.33,1826250.0,0.0,95663.3396,1187.2741,1127.9104,95584.6186,289157.4395,19.3573,0.9992
4,1519463.85,42345.27,479054.38,128738.73,350315.65,3028.26,1703948.21,122301.79,1826250.0,0.0,90309.2551,6823.1525,6481.9949,89939.1817,379096.6212,28.9157,0.9959
5,1519463.85,49773.32,575226.47,224910.81,350315.65,2985.39,1612584.73,213665.27,1826250.0,0.0,85466.9905,11920.2732,11324.2595,84833.0671,463929.6883,37.9097,0.9926
6,1519463.85,56396.14,653965.51,303649.86,350315.65,2943.2,1537782.63,288467.37,1826250.0,0.0,81502.4795,16093.4426,15288.7705,80651.4144,544581.1027,46.393,0.9896
7,1326589.08,54185.22,673963.9,368115.94,305847.96,2915.4,1476539.86,349710.14,1826250.0,0.0,78256.6124,19510.1448,18534.6376,77226.6471,621807.7498,54.4581,0.9868
8,1023021.85,44731.13,656756.18,420896.3,235859.88,2955.93,1426398.51,399851.49,1826250.0,0.0,75599.1213,22307.5039,21192.1287,74421.5653,696229.3151,62.1808,0.9844
9,785608.91,36017.6,645233.03,464109.21,181123.82,3045.41,1385346.26,440903.74,1826250.0,0.0,73423.3515,24597.7879,23367.8985,72123.8392,768353.1543,69.6229,0.9823
10,601873.71,28544.9,638252.21,499488.94,138763.28,3124.35,1351735.51,474514.49,1826250.0,0.0,71641.9819,26472.9138,25149.2681,70241.5009,838594.6553,76.8353,0.9805
11,460550.44,22387.85,634636.31,528455.42,106180.89,3184.4,1324217.36,502032.64,1826250.0,0.0,70183.5198,28008.137,26607.7302,68699.2535,907293.9088,83.8595,0.9789
12,352223.76,17436.22,633377.1,552171.16,81205.94,3231.03,1301687.4,524562.6,1826250.0,0.0,68989.4321,29265.0715,27801.8179,67435.4491,974729.3579,90.7294,0.9775
13,269339.85,13514.89,633684.85,571587.97,62096.88,3267.39,1283241.43,543008.57,1826250.0,0.0,68011.7957,30294.1624,28779.4543,66399.6147,1041128.9726,97.4729,0.9763
14,205975.53,10440.77,634973.21,587485.11,47488.1,3295.68,1268139.15,558110.85,1826250.0,0.0,67211.3748,31136.7108,29579.8752,65550.4263,1106679.3989,104.1129,0.9753
15,157546.42,8047.18,636823.25,600500.59,36322.66,3317.61,1255774.44,570475.56,1826250.0,0.0,66556.0455,31826.5311,30235.2045,64854.051,1171533.4499,110.6679,0.9744
